server|url|amount
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/31794/urgente-comandantes-do-alto-patamar-das-forcas-armadas-se-unem-e-lancam-forte-nota-contra-o-tse-equottem-algo-a-esconderequot|517
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/31511/grave-randolfe-convoca-equotexercito-de-stedileequot-o-mst-para-derrubar-bolsonaro-veja-o-video|461
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/16821/a-pec-que-extingue-a-pec-da-bengala-ja-esta-na-ccj-e-hora-da-sociedade-agir|452
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/15866/governo-zera-tarifas-de-importacao-para-medicamentos-contra-cancer-e-hiv|420
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/31713/avante-a-mentira-jamais-sobrepujou-a-verdade|411
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/31382/urgente-advogado-de-daniel-silveira-rompe-o-silencio-lanca-dura-nota-e-dispara-equotmoraes-esta-interferindo-na-camara-e-na-pgrequot|406
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/14580/o-parlamento-e-a-causa-da-corrupcao-e-nao-a-consequencia|387
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/13444/gasolina-cai-pelo-terceiro-mes-consecutivo-e-inflacao-de-fevereiro-e-a-menor-desde-o-plano-real|366
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/14804/confianca-e-tudo-scania-hyundai-gm-carrefour-e-honda-anunciam-investimentos-no-brasil|357
jornaldacidadeonline.com.br|https://www.jornaldacidadeonline.com.br/noticias/31671/general-presidente-do-clube-militar-sobe-o-tom-contra-ministros-e-detona-suprema-corte-desmoralizada|356
revistaoeste.com|https://revistaoeste.com/politica/camara-faz-enquete-sobre-voto-impresso-91-sao-favoraveis/|490
revistaoeste.com|https://revistaoeste.com/brasil/arthur-lira-nao-se-vai-aceitar-que-a-justica-eleitoral-legisle/|422
revistaoeste.com|https://revistaoeste.com/tecnologia/ivermectina-reduz-em-56-as-mortes-por-covid-19-mostra-estudo/|329
revistaoeste.com|https://revistaoeste.com/mundo/com-54-da-populacao-vacinada-chile-tem-91-das-utis-ocupadas/|323
revistaoeste.com|https://revistaoeste.com/politica/as-urnas-eletronicas-sao-fraudaveis-afirma-auditor/|317
revistaoeste.com|https://revistaoeste.com/mundo/coronavac-nao-e-adequada-para-combater-a-pandemia-diz-primeiro-ministro-da-italia/|314
revistaoeste.com|https://revistaoeste.com/politica/politicos-cobram-cpi-do-tse-depois-de-denuncia-de-bolsonaro/|296
revistaoeste.com|https://revistaoeste.com/politica/o-stf-e-quem-de-fato-ameaca-a-democracia/|276
revistaoeste.com|https://revistaoeste.com/politica/roberto-jefferson-afirma-que-a-china-comprou-o-stf/|276
revistaoeste.com|https://revistaoeste.com/politica/apos-derrota-na-justica-globo-publica-direito-de-resposta-de-ana-paula-henkel/|256
terrabrasilnoticias.com|https://terrabrasilnoticias.com/2021/07/urgente-presidente-do-partido-republicanos-muda-e-apoiara-voto-impresso-auditavel/|391
terrabrasilnoticias.com|https://terrabrasilnoticias.com/2021/06/bomba-pf-descobre-esquema-milionario-de-propinas-pagas-a-renan-calheiros/|337
